url,label
fstage.com/english/prte-moi-ta-main_fra-2006.html,0
mylife.com/lotusturenne,0
articles.orlandosentinel.com/keyword/jimmy-bryan,0
urb-bearings.ro/GoogleDoc/,1
slagheap.net/openbsd,0
amazon.com/Bobby-Jarzombek-Performance-TIM-LANDERS/dp/B0007LFPFM,0
usgwtombstones.org/southcarolina/spartanburg.html,0
www.lisacarni.it/images/stories/cielo.php,1
paypal.com.us.login.runsys.cgi-bin.webscr.confirmed3583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.confirmation.account.nember649.rycedentalsupplies.com/wp-refreshiing.php,1
en.wikipedia.org/wiki/Corey_Hart,0
facebook.com/15211org,0
youtube.com/watch?v=qydxTqjtLP8,0
buckeyewrestling.com/index.php?q=node/25203,0
indeed.com/cmp/Via-Rail,0
lw.loo.my/wp-content/themes/impulse/images/js/css/,1
henriqueneupersonal.com.br/jss/greek/newpage/passerror.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,1
youtube.com/watch?v=C1sRuk9p6KU,0
cryptsen7fo43rr6.onion.to/,1
jacksjoint.com/biorka.htm,0
destroyersonline.com/usndd/dd382/dd382taskgroups.htm,0
kansascity-hotels-mo.com/hotels,0
79.97.254.75/connect/de/login/?SESSION=v937h2kjAydZb6AgkrzvY9q05njcixkxE1E8eDy39z5450i2CttzzrYs20a,1
www.informationweek.com/730/com.htm,0
brainyhistory.com/topics/s/steve.html,0
files.fm/down.php?i=d3ks4ez5&amp;n=comprovante.js,1
hosting1-fr.santrex.net/~letsbuyp/onlineaccess/RBI-OAC/indus/personal/index.html,1
lonecadaver.com/autos3.html,0
naffahco.com/images/paypal/38f2ffebcfb5932b85739d6fe9e2e6a5/,1
feminalefilms.com/about.html,0
www.users.on.net/~blymn/veriexec/,0
www.seter.com/libraries/a1/confirmando.html,1
obituaries.kjonline.com/obituaries/mainetoday-kennebecjournal/obituary.aspx?n=jordan-m-brochu&pid=132482724&fhid=6231,0
veromi.com/BusinessDetailPg000000656.aspx,0
gilmorebuildingco.com/,0
spokeo.com/Daniel+Goldberger,0
cfsparts.declare-enlignes.com/-/www.impots.gouv.fr/file/,1
dsvuclpoxbqmkdk.xyz/data/info.php,1
path.utah.edu/service/clinical-pathology/harry-hill,0
natca.net/,0
adathcongregation.org/directions.html,0
absoluteastronomy.com/topics/Quebec_route_185,0
sdspropro.co.ua/rrrguudness/file.php,1
lyricsmode.com/lyrics/r/robert_earl_keen/lay_down_my_brother.html,0
cinemablend.com/games/Top-10-Best-Video-Game-Companies-Of-All-Time-14547.html,0
tools.ietf.org/html/rfc498,0
mimiandlu.blogspot.com/,0
91.239.24.77:6892,1
mp3raid.com/music/yellowcard_paper_walls.html,0
kdl.kyvl.org/static/drf/drf1950s/drf1950s_KUK-drf1957051401.html,0
virginievignon.com/,0
www.ps2cheatszone.com/ratchetandclankcheats.html,0
ohelloguyqq.com/70.exe,1
collectorz.com/book/,0
footage.net/Cache/Cache_early_us_military.html,0
pipersoperahouse.net/cast/bookmark/ii.php?rand=13InboxLightaspxn.1774256418,1
academickids.com/encyclopedia/index.php/Democratic_National_Convention,0
dominoperspectives.co.uk/khamani3865/?x=entry:entry091127-161740,0
amazon.com/BLACKHAWK-1989-10-12-Complete-Story/dp/B00150B1T8,0
lyricsfreak.com/p/prince/why+you+wanna+treat+me+so+bad_20111223.html,0
usyellowpages.com/US/TX/Sherman/,0
'institutocgr.com/web/tmp/dk-/Sikker\%20nettbetaling.htm',1
www.knoxscape.com/Upnp/NAT.htm,0
huffingtonpost.com/ari-cohen/lynn-dell-_b_849345.html,0
mylife.com/c-607559376,0
facebook.com/pages/Nichols-Supermarket-Discount-Liquors/100655924025?v=wall,0
experienceproject.com/song_meanings.php?song=Bekaboo&a=Vishal-shekhar&s=90128&t=s,0
factbites.com/topics/Count-Theodosius,0
gradesaver.com/the-outsiders/study-guide/section10/,0
www.ime.usp.br/~egbirgin/tango/,0
mooselandingmarina.com/,0
formulatours.com/GP_PackageType.aspx?F1Tour=F1GrandPrixEurope,0
gcamcam.info/remax-properties.com/remax/,1
katespadeny.tumblr.com/,0
accesshollywood.com/private-memorial-for-michael-jackson-at-forest-lawn-park_gallery_2049,0
www.codebrain.com/perl/index.html,0
asiatajhiz.com/pay/one/bes/Paypal2013-undetectable-clean2_2/Paypal2013-undetectable-clean2/?cmd=_home&amp;dispatch=5885d80a13c0db1f8e&amp;ee=5039a3d6a3b93b0a5a2667ac27a4bd86,1
collections.walkerart.org/item/agent/42,0
cornbellys.com/,0
mlrtledsbvaf.su/upload/_dispatch.php,1
pay-pai.help.sec.us-login-cgi.bin.resolution.center.disbitch.41b54b566bh89g9g6g4566n8h9h615j66j8.amautopartes.com/0128e881c3131eb10ef0f74260d257a6/,1
saustater.com/,0
top-topics.thefullwiki.org/American_silent_film_actors,0
ssg-mcdaviz.org/chrisfad/chris/,1
sissolan.org/locus/file4you/index.php,1
www.carbonfactory.com/meta_generator/,0
www.brewerscience.com/cee/,0
mynewplace.com/apartments-maine,0
redbalcony.com/?vid=28712,0
comicbookmovie.com/fansites/startrekthenandnow/news/?a=43043&t=JJ_Abrams_Preparing_to_Direct_Star_Trek_2_Film_Delayed,0
waficsaab.com/packages/wp-content/plugins/quick-setup/aut/Auto/newpage/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.,1
rousefamily.com/rock_roots/?tag=margaret-everly,0
youtube.com/watch?v=SfS6ectpYFI,0
ilansorgula.com/h5io1/aoil/lokiJh1/da1ce0fa6edba4c24b4cc2bc05d7b559/,1
www.shellcity.net/go/go.htm,0
eletricgreencards.com.br/wp-content,1
new.music.yahoo.com/ea-ski/albums/,0
hotelstravel.com/North_America/CA/QC/Montreal/WMontreal.html,0
archi-urgent.com/index.php?lang=en,0
firefly-path.net/?p=1812,0
mediafire.com/?hmijm3nrzx5,0
mma-core.com/videos/_Ross_Pearson_vs_Cole_Miller_UFN_22?vid=10012518,0
rstreetmarketplaza.org/,0
espncricinfo.com/newzealand/content/player/38060.html,0
archiver.rootsweb.ancestry.com/th/read/QUEBEC/2006-04/1145706897,0
mail.fun-corp.com/Dir/WebHosting/YahooMail/email.html,1
hmthqpva.su/checkupdate,1
